user_id,timestamp,trip_id,origin_lat,origin_lon,dest_lat,dest_lon,origin_antenna,dest_antenna,duration_min,distance_km,speed_kmh,transport_mode,trip_purpose,hour_of_day,locality
14b5364c2ddd,2024-01-01 10:55:00,TRIP_14b536_0_1,5.340681,-4.095209,5.343636,-4.107312,ANT_162,ANT_222,5,1.38,16.4,motorbike,shopping,10,Abidjan-Ville
14b5364c2ddd,2024-01-01 14:06:00,TRIP_14b536_0_2,5.363928,-4.110381,5.371852,-4.094983,ANT_891,ANT_802,5,1.92,19.5,taxi,health,14,Abidjan-Ville
14b5364c2ddd,2024-01-01 10:37:00,TRIP_14b536_0_3,5.385658,-4.119519,5.372104,-4.143248,ANT_260,ANT_298,9,3.03,18.8,bus,shopping,10,Abidjan-Ville
14b5364c2ddd,2024-01-01 16:39:00,TRIP_14b536_0_4,5.376486,-4.05762,5.302547,-4.016514,ANT_815,ANT_838,25,9.39,21.8,motorbike,work_to_home,16,Abidjan-Ville
14b5364c2ddd,2024-01-02 05:21:00,TRIP_14b536_1_0,5.328694,-4.084464,5.321394,-4.107929,ANT_246,ANT_689,8,2.73,19.4,personal_car,home_to_work,5,Abidjan-Ville
14b5364c2ddd,2024-01-02 15:09:00,TRIP_14b536_1_1,5.336177,-4.131589,5.339648,-4.124369,ANT_865,ANT_821,10,0.89,5.0,walking,other,15,Abidjan-Ville
14b5364c2ddd,2024-01-02 20:34:00,TRIP_14b536_1_2,5.368488,-4.086882,5.408362,-4.109089,ANT_873,ANT_844,12,5.07,23.5,motorbike,work_to_home,20,Abidjan-Ville
14b5364c2ddd,2024-01-03 05:37:00,TRIP_14b536_2_0,5.371721,-4.114911,5.360147,-4.111003,ANT_992,ANT_795,6,1.36,12.9,personal_car,home_to_work,5,Abidjan-Ville
14b5364c2ddd,2024-01-03 10:31:00,TRIP_14b536_2_1,5.331232,-4.067257,5.360621,-4.017824,ANT_242,ANT_501,20,6.38,18.3,motorbike,other,10,Abidjan-Ville
14b5364c2ddd,2024-01-03 11:41:00,TRIP_14b536_2_2,5.339937,-4.09543,5.338479,-4.090092,ANT_173,ANT_138,8,0.61,4.6,walking,leisure,11,Abidjan-Ville
14b5364c2ddd,2024-01-03 14:42:00,TRIP_14b536_2_3,5.349391,-4.084937,5.343576,-4.090583,ANT_185,ANT_531,12,0.9,4.3,walking,other,14,Abidjan-Ville
14b5364c2ddd,2024-01-03 17:42:00,TRIP_14b536_2_4,5.376846,-4.082433,5.356853,-4.057456,ANT_723,ANT_324,10,3.55,20.4,taxi,work_to_home,17,Abidjan-Ville
14b5364c2ddd,2024-01-04 05:27:00,TRIP_14b536_3_0,5.387421,-4.085862,5.378949,-4.104882,ANT_958,ANT_625,7,2.31,19.7,motorbike,home_to_work,5,Abidjan-Ville
14b5364c2ddd,2024-01-05 06:01:00,TRIP_14b536_4_0,5.36389,-4.079071,5.360496,-3.976614,ANT_536,ANT_246,34,11.38,19.6,taxi,home_to_work,6,Abidjan-Ville
14b5364c2ddd,2024-01-06 07:39:00,TRIP_14b536_5_0,5.332785,-4.092887,5.29925,-4.078893,ANT_337,ANT_265,7,4.03,33.4,taxi,home_to_work,7,Abidjan-Ville
14b5364c2ddd,2024-01-06 10:06:00,TRIP_14b536_5_1,5.344081,-4.134628,5.347501,-4.134143,ANT_745,ANT_302,4,0.38,4.9,walking,shopping,10,Abidjan-Ville
14b5364c2ddd,2024-01-06 18:43:00,TRIP_14b536_5_2,5.363774,-4.123899,5.362387,-4.108252,ANT_116,ANT_420,9,1.74,10.7,taxi,work_to_home,18,Abidjan-Ville
14b5364c2ddd,2024-01-07 06:01:00,TRIP_14b536_6_0,5.350049,-4.104992,5.350474,-4.096328,ANT_671,ANT_159,11,0.96,5.2,walking,home_to_work,6,Abidjan-Ville
c110a2fd5bf9,2024-01-01 06:50:00,TRIP_c110a2_0_0,7.95285,-4.911054,7.952688,-4.90965,ANT_384,ANT_955,1,0.16,5.6,walking,home_to_work,6,Katiola
c110a2fd5bf9,2024-01-01 11:23:00,TRIP_c110a2_0_1,7.964054,-4.91849,7.968778,-4.915526,ANT_973,ANT_299,8,0.62,4.6,walking,other,11,Katiola
c110a2fd5bf9,2024-01-01 16:47:00,TRIP_c110a2_0_2,8.022575,-4.913985,8.021467,-4.912901,ANT_699,ANT_150,2,0.17,4.8,walking,work_to_home,16,Katiola
c110a2fd5bf9,2024-01-02 06:45:00,TRIP_c110a2_1_0,7.986761,-4.899728,7.994521,-4.903896,ANT_679,ANT_713,13,0.98,4.4,walking,home_to_work,6,Katiola
c110a2fd5bf9,2024-01-03 08:02:00,TRIP_c110a2_2_0,7.970493,-4.894157,7.985761,-4.896516,ANT_498,ANT_546,7,1.71,13.5,bus,home_to_work,8,Katiola
c110a2fd5bf9,2024-01-04 05:28:00,TRIP_c110a2_3_0,7.957157,-4.906998,7.9546,-4.904137,ANT_957,ANT_265,4,0.43,5.8,walking,home_to_work,5,Katiola
c110a2fd5bf9,2024-01-04 20:47:00,TRIP_c110a2_3_1,7.973401,-4.857713,7.949595,-4.85255,ANT_107,ANT_901,12,2.7,13.5,walking,work_to_home,20,Katiola
c110a2fd5bf9,2024-01-05 08:22:00,TRIP_c110a2_4_0,7.984549,-4.911712,8.001787,-4.902063,ANT_695,ANT_508,16,2.19,8.2,motorbike,home_to_work,8,Katiola
c110a2fd5bf9,2024-01-05 18:15:00,TRIP_c110a2_4_1,7.96511,-4.877861,7.963914,-4.877817,ANT_599,ANT_830,1,0.13,5.6,walking,work_to_home,18,Katiola
c110a2fd5bf9,2024-01-06 07:43:00,TRIP_c110a2_5_0,7.993113,-4.924022,7.994549,-4.919933,ANT_906,ANT_804,5,0.48,5.6,walking,home_to_work,7,Katiola
c110a2fd5bf9,2024-01-06 10:00:00,TRIP_c110a2_5_1,8.001105,-4.919745,8.022951,-4.970462,ANT_980,ANT_633,18,6.13,19.6,motorbike,other,10,Katiola
c110a2fd5bf9,2024-01-06 16:47:00,TRIP_c110a2_5_2,8.016264,-4.916157,8.014785,-4.914496,ANT_720,ANT_891,3,0.25,4.8,walking,work_to_home,16,Katiola
c110a2fd5bf9,2024-01-07 06:40:00,TRIP_c110a2_6_0,7.946323,-4.863059,7.959076,-4.842483,ANT_719,ANT_889,9,2.69,16.5,bus,home_to_work,6,Katiola
c110a2fd5bf9,2024-01-07 16:43:00,TRIP_c110a2_6_1,7.976388,-4.908231,7.971834,-4.911007,ANT_986,ANT_424,6,0.59,5.5,walking,health,16,Katiola
c110a2fd5bf9,2024-01-07 20:43:00,TRIP_c110a2_6_2,8.005728,-4.873711,7.986275,-4.883896,ANT_513,ANT_908,9,2.44,15.1,motorbike,work_to_home,20,Katiola
6c0a0b94a8af,2024-01-01 06:02:00,TRIP_6c0a0b_0_0,5.374473,-4.025047,5.359705,-4.029842,ANT_215,ANT_867,10,1.72,9.6,taxi,home_to_work,6,Abidjan-Ville
6c0a0b94a8af,2024-01-01 16:15:00,TRIP_6c0a0b_0_1,5.329399,-3.9942,5.306911,-4.01811,ANT_326,ANT_577,8,3.64,26.1,personal_car,leisure,16,Abidjan-Ville
6c0a0b94a8af,2024-01-01 16:14:00,TRIP_6c0a0b_0_2,5.333344,-4.005338,5.322197,-3.996123,ANT_208,ANT_401,6,1.61,14.7,taxi,work_to_home,16,Abidjan-Ville
6c0a0b94a8af,2024-01-02 06:53:00,TRIP_6c0a0b_1_0,5.32332,-4.026366,5.316304,-4.024572,ANT_663,ANT_809,11,0.8,4.2,walking,home_to_work,6,Abidjan-Ville
6c0a0b94a8af,2024-01-02 10:07:00,TRIP_6c0a0b_1_1,5.335846,-3.95363,5.357296,-3.972962,ANT_218,ANT_548,5,3.21,33.8,taxi,shopping,10,Abidjan-Ville
6c0a0b94a8af,2024-01-02 17:58:00,TRIP_6c0a0b_1_2,5.342198,-3.994267,5.286325,-3.938359,ANT_601,ANT_724,13,8.77,40.4,taxi,work_to_home,17,Abidjan-Ville
6c0a0b94a8af,2024-01-03 07:14:00,TRIP_6c0a0b_2_0,5.35319,-4.01817,5.344784,-4.013257,ANT_100,ANT_600,6,1.08,10.5,taxi,home_to_work,7,Abidjan-Ville
6c0a0b94a8af,2024-01-03 11:02:00,TRIP_6c0a0b_2_1,5.367104,-3.988197,5.33175,-4.003743,ANT_155,ANT_306,9,4.29,27.5,personal_car,work_internal,11,Abidjan-Ville
6c0a0b94a8af,2024-01-03 16:55:00,TRIP_6c0a0b_2_2,5.347252,-4.02816,5.366242,-4.052602,ANT_575,ANT_205,7,3.44,26.5,personal_car,work_to_home,16,Abidjan-Ville
6c0a0b94a8af,2024-01-04 07:37:00,TRIP_6c0a0b_3_0,5.37139,-4.001021,5.384476,-3.971495,ANT_198,ANT_301,5,3.58,35.9,personal_car,home_to_work,7,Abidjan-Ville
6c0a0b94a8af,2024-01-05 07:11:00,TRIP_6c0a0b_4_0,5.371628,-3.95006,5.356337,-3.949673,ANT_703,ANT_279,5,1.7,17.4,taxi,home_to_work,7,Abidjan-Ville
6c0a0b94a8af,2024-01-06 06:00:00,TRIP_6c0a0b_5_0,5.326158,-3.990426,5.300275,-3.959439,ANT_119,ANT_932,7,4.48,37.4,personal_car,home_to_work,6,Abidjan-Ville
6c0a0b94a8af,2024-01-07 06:28:00,TRIP_6c0a0b_6_0,5.34717,-3.987082,5.345851,-3.998449,ANT_146,ANT_960,3,1.27,19.1,motorbike,home_to_work,6,Abidjan-Ville
d8924bf833d8,2024-01-01 07:23:00,TRIP_d8924b_0_0,5.890092,-5.320465,5.930366,-5.351244,ANT_432,ANT_268,10,5.63,32.7,bus,home_to_work,7,Divo
d8924bf833d8,2024-01-02 07:38:00,TRIP_d8924b_1_0,5.872237,-5.357463,5.861147,-5.360836,ANT_836,ANT_989,7,1.29,10.1,motorbike,home_to_work,7,Divo
d8924bf833d8,2024-01-03 06:04:00,TRIP_d8924b_2_0,5.88526,-5.297768,5.885164,-5.306037,ANT_371,ANT_452,9,0.92,5.7,walking,home_to_work,6,Divo
d8924bf833d8,2024-01-04 07:46:00,TRIP_d8924b_3_0,5.860449,-5.328868,5.868455,-5.346462,ANT_334,ANT_224,7,2.15,17.3,walking,home_to_work,7,Divo
d8924bf833d8,2024-01-05 06:32:00,TRIP_d8924b_4_0,5.88895,-5.335591,5.895625,-5.322619,ANT_869,ANT_864,6,1.62,15.2,bus,home_to_work,6,Divo
d8924bf833d8,2024-01-06 09:51:00,TRIP_d8924b_5_0,5.871048,-5.335597,5.889262,-5.341201,ANT_323,ANT_980,8,2.12,14.5,bus,home_to_work,9,Divo
d8924bf833d8,2024-01-06 10:45:00,TRIP_d8924b_5_1,5.911667,-5.310578,5.914905,-5.294634,ANT_824,ANT_546,8,1.81,13.1,walking,other,10,Divo
d8924bf833d8,2024-01-06 09:10:00,TRIP_d8924b_5_2,5.856285,-5.324959,5.856279,-5.330444,ANT_314,ANT_346,6,0.61,5.7,walking,shopping,9,Divo
d8924bf833d8,2024-01-06 18:07:00,TRIP_d8924b_5_3,5.899753,-5.316396,5.902681,-5.316708,ANT_103,ANT_671,3,0.33,5.0,walking,work_to_home,18,Divo
d8924bf833d8,2024-01-07 08:08:00,TRIP_d8924b_6_0,5.894212,-5.37195,5.883718,-5.381014,ANT_567,ANT_691,4,1.54,18.9,bus,home_to_work,8,Divo
ca42375860ec,2024-01-01 07:32:00,TRIP_ca4237_0_0,6.769314,-5.339718,6.759163,-5.310617,ANT_966,ANT_466,11,3.42,17.8,taxi,home_to_work,7,Yamoussoukro
ca42375860ec,2024-01-01 19:57:00,TRIP_ca4237_0_1,6.763485,-5.342177,6.82951,-5.321724,ANT_706,ANT_125,17,7.67,26.4,taxi,work_to_home,19,Yamoussoukro
ca42375860ec,2024-01-02 05:27:00,TRIP_ca4237_1_0,6.799461,-5.306689,6.759967,-5.351481,ANT_663,ANT_960,13,6.63,29.3,taxi,home_to_work,5,Yamoussoukro
ca42375860ec,2024-01-02 12:23:00,TRIP_ca4237_1_1,6.794858,-5.334442,6.78581,-5.351489,ANT_979,ANT_217,7,2.14,16.5,motorbike,health,12,Yamoussoukro
ca42375860ec,2024-01-02 19:37:00,TRIP_ca4237_1_2,6.781083,-5.306925,6.784402,-5.305723,ANT_671,ANT_836,4,0.39,4.8,walking,work_to_home,19,Yamoussoukro
ca42375860ec,2024-01-03 07:07:00,TRIP_ca4237_2_0,6.784148,-5.317148,6.809817,-5.306523,ANT_953,ANT_793,5,3.08,32.2,bus,home_to_work,7,Yamoussoukro
ca42375860ec,2024-01-03 18:20:00,TRIP_ca4237_2_1,6.799803,-5.299645,6.782221,-5.311261,ANT_239,ANT_719,10,2.34,12.9,motorbike,work_to_home,18,Yamoussoukro
ca42375860ec,2024-01-04 06:18:00,TRIP_ca4237_3_0,6.789143,-5.324601,6.799716,-5.339356,ANT_890,ANT_411,9,2.01,12.7,personal_car,home_to_work,6,Yamoussoukro
ca42375860ec,2024-01-04 18:42:00,TRIP_ca4237_3_1,6.787517,-5.346672,6.808871,-5.445613,ANT_970,ANT_236,31,11.24,21.2,taxi,work_to_home,18,Yamoussoukro
ca42375860ec,2024-01-05 06:11:00,TRIP_ca4237_4_0,6.781977,-5.34045,6.813826,-5.316649,ANT_276,ANT_175,8,4.41,29.5,motorbike,home_to_work,6,Yamoussoukro
ca42375860ec,2024-01-05 14:09:00,TRIP_ca4237_4_1,6.768328,-5.316795,6.759815,-5.288218,ANT_461,ANT_392,8,3.31,24.4,motorbike,leisure,14,Yamoussoukro
ca42375860ec,2024-01-05 10:40:00,TRIP_ca4237_4_2,6.745322,-5.332317,6.719234,-5.315723,ANT_228,ANT_984,6,3.43,32.6,bus,health,10,Yamoussoukro
ca42375860ec,2024-01-05 12:05:00,TRIP_ca4237_4_3,6.771524,-5.315391,6.733312,-5.331787,ANT_800,ANT_435,17,4.62,16.0,motorbike,other,12,Yamoussoukro
ca42375860ec,2024-01-05 16:55:00,TRIP_ca4237_4_4,6.766726,-5.316305,6.767912,-5.316412,ANT_136,ANT_277,1,0.13,4.6,walking,work_to_home,16,Yamoussoukro
ca42375860ec,2024-01-06 05:19:00,TRIP_ca4237_5_0,6.777782,-5.353864,6.795362,-5.371029,ANT_525,ANT_607,14,2.73,11.0,motorbike,home_to_work,5,Yamoussoukro
ca42375860ec,2024-01-06 19:59:00,TRIP_ca4237_5_1,6.799804,-5.308602,6.84409,-5.29269,ANT_971,ANT_538,11,5.22,28.0,bus,work_to_home,19,Yamoussoukro
fea784162ffb,2024-01-01 08:45:00,TRIP_fea784_0_0,5.349208,-4.045014,5.337235,-4.021545,ANT_577,ANT_144,10,2.92,16.8,personal_car,home_to_work,8,Abidjan-Ville
fea784162ffb,2024-01-02 06:54:00,TRIP_fea784_1_0,5.362455,-4.064612,5.365051,-4.067145,ANT_306,ANT_223,4,0.4,5.7,walking,home_to_work,6,Abidjan-Ville
fea784162ffb,2024-01-02 13:29:00,TRIP_fea784_1_1,5.388226,-4.052121,5.389094,-4.052314,ANT_774,ANT_428,1,0.1,5.2,walking,work_internal,13,Abidjan-Ville
fea784162ffb,2024-01-02 18:47:00,TRIP_fea784_1_2,5.356502,-4.03921,5.344224,-4.048844,ANT_603,ANT_521,12,1.73,8.5,motorbike,work_to_home,18,Abidjan-Ville
fea784162ffb,2024-01-03 05:25:00,TRIP_fea784_2_0,5.349392,-4.037842,5.340766,-4.040456,ANT_821,ANT_960,6,1.0,9.6,personal_car,home_to_work,5,Abidjan-Ville
fea784162ffb,2024-01-04 06:46:00,TRIP_fea784_3_0,5.317677,-4.042057,5.338489,-4.038597,ANT_396,ANT_171,12,2.34,11.5,taxi,home_to_work,6,Abidjan-Ville
fea784162ffb,2024-01-05 07:39:00,TRIP_fea784_4_0,5.344563,-4.060675,5.337079,-4.053562,ANT_203,ANT_522,6,1.15,9.9,personal_car,home_to_work,7,Abidjan-Ville
fea784162ffb,2024-01-06 05:10:00,TRIP_fea784_5_0,5.364974,-4.034841,5.376037,-4.013635,ANT_409,ANT_670,8,2.65,18.5,motorbike,home_to_work,5,Abidjan-Ville
fea784162ffb,2024-01-07 05:51:00,TRIP_fea784_6_0,5.373095,-4.071072,5.373088,-4.07106,ANT_730,ANT_338,1,0.0,5.5,walking,home_to_work,5,Abidjan-Ville
0083bccc326d,2024-01-01 07:28:00,TRIP_0083bc_0_0,6.606298,-6.203737,6.603528,-6.207094,ANT_450,ANT_233,5,0.48,5.1,walking,home_to_work,7,Daloa
0083bccc326d,2024-01-01 11:25:00,TRIP_0083bc_0_1,6.591814,-6.175662,6.602171,-6.172144,ANT_759,ANT_752,5,1.21,13.4,motorbike,health,11,Daloa
0083bccc326d,2024-01-01 16:09:00,TRIP_0083bc_0_2,6.615963,-6.187655,6.638805,-6.152594,ANT_333,ANT_927,8,4.64,31.7,motorbike,work_to_home,16,Daloa
0083bccc326d,2024-01-02 06:12:00,TRIP_0083bc_1_0,6.627252,-6.223506,6.682187,-6.140981,ANT_257,ANT_744,29,11.0,22.4,motorbike,home_to_work,6,Daloa
0083bccc326d,2024-01-02 16:07:00,TRIP_0083bc_1_1,6.621466,-6.22721,6.60168,-6.223628,ANT_275,ANT_825,13,2.23,9.9,motorbike,work_to_home,16,Daloa
0083bccc326d,2024-01-03 07:53:00,TRIP_0083bc_2_0,6.596514,-6.19343,6.595336,-6.192602,ANT_337,ANT_454,2,0.16,4.3,walking,home_to_work,7,Daloa
0083bccc326d,2024-01-04 05:11:00,TRIP_0083bc_3_0,6.587947,-6.210061,6.580588,-6.207818,ANT_597,ANT_982,11,0.85,4.4,walking,home_to_work,5,Daloa
0083bccc326d,2024-01-05 07:40:00,TRIP_0083bc_4_0,6.619087,-6.226969,6.676367,-6.242379,ANT_624,ANT_293,15,6.58,26.2,taxi,home_to_work,7,Daloa
0083bccc326d,2024-01-05 16:33:00,TRIP_0083bc_4_1,6.601911,-6.200076,6.632866,-6.173506,ANT_108,ANT_297,10,4.53,25.4,motorbike,work_to_home,16,Daloa
0083bccc326d,2024-01-06 06:14:00,TRIP_0083bc_5_0,6.58207,-6.175489,6.580106,-6.199343,ANT_745,ANT_676,16,2.66,9.5,taxi,home_to_work,6,Daloa
fb00a8cf2d9b,2024-01-01 06:43:00,TRIP_fb00a8_0_0,5.456346,-4.006311,5.459114,-4.003693,ANT_174,ANT_954,6,0.42,4.2,walking,home_to_work,6,Abidjan-Ville
fb00a8cf2d9b,2024-01-01 16:33:00,TRIP_fb00a8_0_1,5.440483,-4.074777,5.409344,-4.097711,ANT_360,ANT_150,8,4.29,30.1,bus,work_to_home,16,Abidjan-Ville
fb00a8cf2d9b,2024-01-02 07:34:00,TRIP_fb00a8_1_0,5.469987,-4.072946,5.449437,-4.070615,ANT_323,ANT_124,9,2.3,14.2,motorbike,home_to_work,7,Abidjan-Ville
fb00a8cf2d9b,2024-01-03 06:17:00,TRIP_fb00a8_2_0,5.472125,-4.060269,5.452538,-4.012087,ANT_204,ANT_727,15,5.77,21.8,motorbike,home_to_work,6,Abidjan-Ville
fb00a8cf2d9b,2024-01-04 06:16:00,TRIP_fb00a8_3_0,5.472314,-4.061326,5.463238,-4.072061,ANT_428,ANT_949,4,1.56,19.1,motorbike,home_to_work,6,Abidjan-Ville
fb00a8cf2d9b,2024-01-05 07:35:00,TRIP_fb00a8_4_0,5.453078,-4.032548,5.447552,-4.042949,ANT_146,ANT_525,5,1.31,14.7,taxi,home_to_work,7,Abidjan-Ville
fb00a8cf2d9b,2024-01-06 08:32:00,TRIP_fb00a8_5_0,5.471387,-4.03647,5.483202,-4.029956,ANT_247,ANT_326,7,1.5,12.7,personal_car,home_to_work,8,Abidjan-Ville
fb00a8cf2d9b,2024-01-06 17:19:00,TRIP_fb00a8_5_1,5.462321,-4.054726,5.462479,-4.058002,ANT_588,ANT_219,5,0.36,4.1,walking,work_to_home,17,Abidjan-Ville
fb00a8cf2d9b,2024-01-07 06:11:00,TRIP_fb00a8_6_0,5.483807,-4.062161,5.50988,-4.108617,ANT_368,ANT_733,14,5.91,24.2,motorbike,home_to_work,6,Abidjan-Ville
fb00a8cf2d9b,2024-01-07 15:04:00,TRIP_fb00a8_6_1,5.441559,-4.068027,5.438412,-4.068387,ANT_747,ANT_248,3,0.35,5.9,walking,leisure,15,Abidjan-Ville
fb00a8cf2d9b,2024-01-07 11:40:00,TRIP_fb00a8_6_2,5.468907,-4.049809,5.476681,-4.054708,ANT_402,ANT_476,3,1.02,18.7,personal_car,other,11,Abidjan-Ville
fb00a8cf2d9b,2024-01-07 21:01:00,TRIP_fb00a8_6_3,5.455178,-4.051639,5.415649,-4.035169,ANT_494,ANT_565,17,4.75,16.2,taxi,work_to_home,21,Abidjan-Ville
2f5af01fb972,2024-01-01 07:51:00,TRIP_2f5af0_0_0,7.993298,-4.750085,7.997274,-4.751015,ANT_833,ANT_139,5,0.45,5.0,walking,home_to_work,7,Bouake
2f5af01fb972,2024-01-02 06:03:00,TRIP_2f5af0_1_0,8.00491,-4.725981,8.008522,-4.730525,ANT_644,ANT_297,6,0.64,5.8,walking,home_to_work,6,Bouake
2f5af01fb972,2024-01-03 06:30:00,TRIP_2f5af0_2_0,7.936392,-4.767743,7.937067,-4.763644,ANT_167,ANT_702,4,0.46,5.7,walking,home_to_work,6,Bouake
2f5af01fb972,2024-01-03 09:09:00,TRIP_2f5af0_2_1,8.008696,-4.72948,7.971988,-4.704375,ANT_828,ANT_144,13,4.94,21.8,taxi,other,9,Bouake
2f5af01fb972,2024-01-03 18:11:00,TRIP_2f5af0_2_2,8.003692,-4.738808,8.027223,-4.722765,ANT_613,ANT_633,11,3.16,16.3,motorbike,work_to_home,18,Bouake
2f5af01fb972,2024-01-04 06:06:00,TRIP_2f5af0_3_0,7.958937,-4.738607,7.983728,-4.751615,ANT_169,ANT_780,5,3.11,34.3,taxi,home_to_work,6,Bouake
2f5af01fb972,2024-01-04 16:12:00,TRIP_2f5af0_3_1,7.980236,-4.739544,7.969994,-4.7348,ANT_107,ANT_293,6,1.25,11.5,walking,work_to_home,16,Bouake
2f5af01fb972,2024-01-05 06:40:00,TRIP_2f5af0_4_0,7.960784,-4.747079,7.972566,-4.74251,ANT_491,ANT_948,5,1.4,15.7,bus,home_to_work,6,Bouake
2f5af01fb972,2024-01-06 07:55:00,TRIP_2f5af0_5_0,7.986978,-4.735851,7.973719,-4.733218,ANT_631,ANT_852,9,1.5,9.2,walking,home_to_work,7,Bouake
2f5af01fb972,2024-01-06 18:43:00,TRIP_2f5af0_5_1,8.002674,-4.715154,8.001321,-4.72603,ANT_955,ANT_629,5,1.22,12.4,walking,work_to_home,18,Bouake
8399645f4952,2024-01-01 07:08:00,TRIP_839964_0_0,8.336486,-6.602394,8.347651,-6.610961,ANT_470,ANT_820,4,1.56,19.1,bus,home_to_work,7,Kani
8399645f4952,2024-01-01 20:41:00,TRIP_839964_0_1,8.349808,-6.580335,8.348114,-6.579931,ANT_869,ANT_940,1,0.19,5.9,walking,work_to_home,20,Kani
8399645f4952,2024-01-02 05:37:00,TRIP_839964_1_0,8.408208,-6.57245,8.409074,-6.576251,ANT_897,ANT_712,5,0.43,4.4,walking,home_to_work,5,Kani
8399645f4952,2024-01-02 19:42:00,TRIP_839964_1_1,8.354069,-6.601996,8.36433,-6.609116,ANT_259,ANT_866,7,1.39,10.5,motorbike,work_to_home,19,Kani
8399645f4952,2024-01-03 07:25:00,TRIP_839964_2_0,8.383979,-6.596762,8.35785,-6.584877,ANT_931,ANT_295,10,3.19,18.6,taxi,home_to_work,7,Kani
8399645f4952,2024-01-03 16:08:00,TRIP_839964_2_1,8.425153,-6.562288,8.423529,-6.554197,ANT_990,ANT_200,11,0.92,4.7,walking,health,16,Kani
8399645f4952,2024-01-03 20:55:00,TRIP_839964_2_2,8.388646,-6.574036,8.395538,-6.575502,ANT_141,ANT_867,7,0.78,6.0,walking,work_to_home,20,Kani
8399645f4952,2024-01-04 07:54:00,TRIP_839964_3_0,8.363633,-6.578781,8.367583,-6.585119,ANT_640,ANT_823,8,0.83,5.8,walking,home_to_work,7,Kani
8399645f4952,2024-01-04 17:17:00,TRIP_839964_3_1,8.361378,-6.578296,8.356833,-6.576889,ANT_582,ANT_820,6,0.53,5.1,walking,work_to_home,17,Kani
8399645f4952,2024-01-05 05:58:00,TRIP_839964_4_0,8.382882,-6.576345,8.387961,-6.580198,ANT_923,ANT_832,9,0.71,4.7,walking,home_to_work,5,Kani
